# ---------------------------------------------------------
# Distances associées aux critères: Euclidienne, Samal, WuPalmer
# Attributs: URI
# Seuil d'indecision: 0.15
# Seuils des critères: [35.0, 100.0], [0.6], [0.7]
# Type de la géométrie: POINT
# ---------------------------------------------------------
ID_REF;NOM_REF;NUM_CANDIDAT;ID_CANDIDAT;NOM_CANDIDAT;URI_REF;URI_CANDIDAT;Euclidienne;Samal;WuPalmer;Proba pign premier;Proba pign second;Decision;GEOM_REF;GEOM_CANDIDAT
608731;Rocher du Téléski de l'Aigle;3;SURFACTI0000000333938460;Parc de Loisirs de l'Aigle;"http://purl.org/choucas.ign.fr/oor#cascade";"http://purl.org/choucas.ign.fr/oor#parc_de_loisir";237.51741;0.57143;0.77778;0.01726;0.24339000000000005;false;POINT (904121.300961313 6450469.604886);POINT (903954.2 6450638.4)
182052;Saint-Nizier-du-Moucherotte - Tremplin;1;NA;NA;"http";"";0.0;0.0;0.0;0.49966;0.0;indécis;null;null
182052;Saint-Nizier-du-Moucherotte - Tremplin;2;SURFACTI0000000297836283;Za de l'Espace Tremplin;"http";"http://purl.org/choucas.ign.fr/oor#zone_d&apos;activité";66.19489;0.4375;2.0;0.50034;0.0;indécis;POINT (907411.488838846 6455464.43158368);POINT (907347 6455449.5)
127458;Entre Les Aygues;1;NA;NA;"http";"";0.0;0.0;0.0;0.07948;0.83249;false;null;null
127458;Entre Les Aygues;2;COURDEAU0000002000792319;Torrent de la Selle;"http";"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau";133.49345;0.73905;2.0;0.00856;0.83249;false;POINT (968819.326066713 6420422.1543362);POINT (968852.7 6420292.9)
127458;Entre Les Aygues;3;PAIHABIT0000000075657980;Entre les Aigues;"http";"http://purl.org/choucas.ign.fr/oor#grange";69.63966;0.05556;2.0;0.91197;0.83249;true;POINT (968819.326066713 6420422.1543362);POINT (968787.9 6420484.3)
43693;Pic du Glacier d'Arsine;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#sommet";"";0.0;0.0;0.0;0.0;1.0;false;null;null
43693;Pic du Glacier d'Arsine;2;PAIOROGR0000000075589927;Col du Glacier d'Arsine;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#col";242.61298;0.28571;0.5;0.0;1.0;false;POINT (968438.231929487 6433839.04210464);POINT (968679.7 6433815.5)
43693;Pic du Glacier d'Arsine;3;PAIOROGR0000000075589943;Pic du Glacier d'Arsine;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#pic";49.44647;0.0;0.2;1.0;1.0;true;POINT (968438.231929487 6433839.04210464);POINT (968393.4 6433859.9)
550089;Col du Says;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#col";"";0.0;0.0;0.0;0.0;1.0;false;null;null
550089;Col du Says;2;PAIOROGR0000002009067751;Col du Says;"http://purl.org/choucas.ign.fr/oor#col";"http://purl.org/choucas.ign.fr/oor#col";86.68629;0.0;0.0;1.0;1.0;true;POINT (961333.203232332 6423925.40077824);POINT (961249 6423946)
936057;Décollage : Pré Berca (Col de l'Arzelier);1;NA;NA;"http://purl.org/choucas.ign.fr/oor#secteur_d&apos;atterrissage_parapente";"";0.0;0.0;0.0;0.48249;0.26478999999999997;true;null;null
936057;Décollage : Pré Berca (Col de l'Arzelier);2;COURDEAU0000002000796540;Ruisseau de la Chapelle;"http://purl.org/choucas.ign.fr/oor#secteur_d&apos;atterrissage_parapente";"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau";155.64217;0.69841;2.0;0.05286;0.26478999999999997;false;POINT (904680.34705569 6435488.68287831);POINT (904531 6435532.5)
936057;Décollage : Pré Berca (Col de l'Arzelier);3;PAIE_NAT0000000007451861;le Collet;"http://purl.org/choucas.ign.fr/oor#secteur_d&apos;atterrissage_parapente";"http://purl.org/choucas.ign.fr/oor#lieu-dit";140.14043;0.61111;2.0;0.0529;0.26478999999999997;false;POINT (904680.34705569 6435488.68287831);POINT (904561.1 6435562.3)
936057;Décollage : Pré Berca (Col de l'Arzelier);4;PAIE_NAT0000000007451858;Savières;"http://purl.org/choucas.ign.fr/oor#secteur_d&apos;atterrissage_parapente";"http://purl.org/choucas.ign.fr/oor#lieu-dit";264.44989;0.84259;2.0;0.05281;0.26478999999999997;false;POINT (904680.34705569 6435488.68287831);POINT (904810.3 6435719)
